27	7.53
28	8.8
29	9.3
30	10.5
31	11
32	11.7
33	7.98
34	8.58
35	9.28
36	10.2
37	10.8
59	13
60	13.6
61	14.1
62	14.8
63	15.3
64	16
65	12.5
66	13
67	13.6
68	14.2
69	14.7
91	14.6
92	15.1
93	15.5
94	15.9
95	16.4
96	16.8
97	14.4
98	14.8
99	15.2
100	15.6
101	16
123	16.2
124	16.5
125	16.9
126	17.3
127	17.6
128	18
129	16.1
130	16.4
131	16.7
132	17.2
133	17.6
155	18.1
156	18.4
157	18.7
158	19.1
159	19.5
160	19.8
161	17.8
162	18.2
163	18.5
164	17.8
165	19.2
187	19.6
188	19.9
189	20.1
190	20.5
191	21
192	21.3
193	19.5
194	19.5
195	19.8
196	20.1
197	20.3
219	20.5
220	20.8
221	21.4
222	21.5
223	22
224	22.2
225	20.5
226	20.7
227	21
228	21.3
229	21.5
251	21.4
252	21.7
253	21.7
254	21.9
255	22.1
256	22.8
257	20.9
258	21.2
259	21.4
260	21.7
261	21.9
283	22.1
284	22.4
285	22.7
286	22.9
287	23
288	23.3
289	21.6
290	22.1
291	22.3
292	22.6
293	22.7
315	22.7
316	23
317	23.1
318	23.3
319	23.5
320	23.6
321	22
322	22.2
323	22.4
324	22.7
325	22.8
347	22.9
348	23.1
349	23.3
350	23.6
351	23.8
352	24
353	22.6
354	22.9
355	23
356	23.3
357	23.5
379	23
380	23.3
381	23.5
382	23.6
383	23.8
384	24
385	22.9
386	23.5
387	23.2
388	23.6
389	23.6
411	23.6
412	23.7
413	24.1
414	24.1
415	24.3
416	24.5
417	23.3
418	23.6
419	23.7
420	23.6
421	23.6
443	23.5
444	23.9
445	24.1
446	24.1
447	23.9
448	24.4
449	23.2
450	23.4
451	23.8
452	24.1
453	24
475	24.3
476	24.1
477	24.4
478	24.1
479	24.5
480	24.9
481	23.5
482	24
483	23.9
484	23.3
485	24
507	23.8
508	23.8
509	23.9
510	24.3
511	24.4
512	24.4
513	23
514	22.5
515	22.9
516	23.1
517	23.1
539	22.9
540	22.8
541	23.5
542	23.9
543	23.8
544	24.1
545	23.4
546	22.9
547	22.5
548	23
549	23.2
571	23.8
572	23.4
573	24.1
574	23.9
575	23.8
576	23.9
577	23.2
578	22.9
579	23.1
580	23.5
581	23.6
603	22.8
604	23.9
605	24
606	24
607	24.3
608	24.3
609	23.8
610	23.4
611	22.5
612	22.5
613	22.8
635	22.3
636	23.7
637	23.5
638	24
639	23.9
640	24.2
641	23.7
642	23.8
643	23.7
644	23.6
645	23.7
667	22.7
668	21.3
669	22.4
670	20.6
671	23.8
672	23.5
673	23.6
674	22.8
675	23.5
676	21.3
677	22.4
699	22.1
700	22.4
701	22.4
702	22.6
703	22.6
704	23.3
705	21.7
706	22.3
707	22.5
708	23.2
709	23
731	23.7
732	23.3
733	23.3
734	23.1
735	22.8
736	23.4
737	22
738	23.1
739	22.4
740	22.7
741	22.7
763	22.9
764	23.6
765	23.1
766	23.6
767	23.5
768	23.5
769	23
770	23
771	22.6
772	23.4
773	22.8
795	22.5
796	22.9
797	23
798	23.6
799	22.9
800	23.6
801	22.5
802	22.7
803	23
804	22.8
805	23.6
827	23
828	23
829	23.4
830	23.4
831	23.2
832	23.2
833	22.3
834	22.4
835	23
836	22.8
837	23.4
859	23.1
860	23.1
861	23
862	23
863	23.5
864	23.8
865	22.3
866	22.3
867	23.2
868	23.2
869	23.9
891	23.6
892	23.9
893	23
894	23.3
895	23.2
896	23
897	22.8
898	22.8
899	23
900	23
901	22.8
923	22.6
924	22.7
925	22.9
926	22.6
927	22.6
928	22.9
929	22.1
930	22.4
931	22.2
932	23.7
933	23
955	22.8
956	22.8
957	22.9
958	23.3
959	23.3
960	23.2
961	22
962	22
963	22.9
964	22.9
965	23
987	23.1
988	23.2
989	21.5
990	23.4
991	21.1
992	22.6
993	22.2
994	22.7
995	22.9
996	22.9
997	22.5
1019	23.2
1020	22.5
1021	22.4
1022	22.9
1023	22.8
1024	23.3
1025	22.9
1026	22.8
1027	22.6
1028	22.9
1029	22.8
